,Features,Missing_Value_Count,Missing_Value_Percentage,Data_Types,count,mean,std,min,25%,50%,75%,max,Category_Counts
0,age,0,0.0,int64,45211.0,40.93621021432837,10.61876204097542,18.0,33.0,39.0,48.0,95.0,
1,job,0,0.0,object,,,,,,,,,12.0
2,marital,0,0.0,object,,,,,,,,,3.0
3,education,0,0.0,object,,,,,,,,,4.0
4,default,0,0.0,object,,,,,,,,,2.0
5,balance,0,0.0,int64,45211.0,1362.2720576850766,3044.7658291685175,-8019.0,72.0,448.0,1428.0,102127.0,
6,housing,0,0.0,object,,,,,,,,,2.0
7,loan,0,0.0,object,,,,,,,,,2.0
8,contact,0,0.0,object,,,,,,,,,3.0
9,day,0,0.0,int64,45211.0,15.80641879188693,8.322476153044592,1.0,8.0,16.0,21.0,31.0,
10,month,0,0.0,object,,,,,,,,,12.0
11,duration,0,0.0,int64,45211.0,258.1630797814691,257.5278122651719,0.0,103.0,180.0,319.0,4918.0,
12,campaign,0,0.0,int64,45211.0,2.763840658246887,3.0980208832791694,1.0,1.0,2.0,3.0,63.0,
13,pdays,0,0.0,int64,45211.0,40.19782796222158,100.12874599059835,-1.0,-1.0,-1.0,-1.0,871.0,
14,previous,0,0.0,int64,45211.0,0.5803233726305546,2.3034410449312213,0.0,0.0,0.0,0.0,275.0,
15,poutcome,0,0.0,object,,,,,,,,,4.0
16,y,0,0.0,object,,,,,,,,,2.0
